legalEntityIdentifier;lastPublicUpdate;status;assignmentDate;renewalDate;expirationDate;expirationReason;successorLei;successorName;registeredName;legalEntityStatus;businessRegisterCode;businessRegistryIdentifier;legalForm;legalRegistrationAddress.firstAddressLine;legalRegistrationAddress.additionalAddressLine1;legalRegistrationAddress.additionalAddressLine2;legalRegistrationAddress.additionalAddressLine3;legalRegistrationAddress.city;legalRegistrationAddress.postalCode;legalRegistrationAddress.region;legalRegistrationAddress.country;headquartersAddress.firstAddressLine;headquartersAddress.additionalAddressLine1;headquartersAddress.additionalAddressLine2;headquartersAddress.additionalAddressLine3;headquartersAddress.city;headquartersAddress.postalCode;headquartersAddress.region;headquartersAddress.country;legalJurisdiction;entityCategory;validationSources;validationAuthorityID;validationAuthorityEntityID;managingLou
724500S1V8KW5S5G4S32;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;AB InBev Efes B.V.;ACTIVE;RA000463;69475059;Besloten Vennootschap;Strawinskylaan 1227;;;;Amsterdam;1077XX;;NL;Strawinskylaan 1227;;;;Amsterdam;1077XX;;NL;NL;;FULLY_CORROBORATED;RA000463;69475059;724500A93Z8V1MJK5349
7245003ICG4U78E76911;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Swinkels V.O.F.;ACTIVE;RA000463;17282026;Vennootschap Onder Firma;Molenschut 4;;;;Leende;5595XV;;NL;Molenschut 4;;;;Leende;5595XV;;NL;NL;;FULLY_CORROBORATED;RA000463;17282026;724500A93Z8V1MJK5349
724500V0MQZ2DUNMXY91;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Bram van Dam Holding B.V.;ACTIVE;RA000463;70287562;Besloten Vennootschap;Zutphenseweg 6;;;;Deventer;7418AJ;;NL;Zutphenseweg 6;;;;Deventer;7418AJ;;NL;NL;;FULLY_CORROBORATED;RA000463;70287562;724500A93Z8V1MJK5349
72450064ZU2HLB18M154;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Bear Investment Holding B.V.;ACTIVE;RA000463;65678494;Besloten Vennootschap;Oude Hoge Dijk 1;;;;Wateringen;2291ZV;;NL;Oude Hoge Dijk 1;;;;Wateringen;2291ZV;;NL;NL;;FULLY_CORROBORATED;RA000463;65678494;724500A93Z8V1MJK5349
724500RAODTAART61694;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Camaris B.V.;ACTIVE;RA000463;62052179;Besloten Vennootschap;Boerhaavelaan 40;;;;Zwolle;8024BK;;NL;Boerhaavelaan 40;;;;Zwolle;8024BK;;NL;NL;;FULLY_CORROBORATED;RA000463;62052179;724500A93Z8V1MJK5349
724500XE5O7OUCPSPI60;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Finance & Information Lifecycle Processes B.V.;ACTIVE;RA000463;17269415;Besloten Vennootschap;Rupelstraat 39;;;;Helmond;5704AW;;NL;Rupelstraat 39;;;;Helmond;5704AW;;NL;NL;;FULLY_CORROBORATED;RA000463;17269415;724500A93Z8V1MJK5349
724500PU5Q2QMSS5OW89;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Koningsakker B.V.;ACTIVE;RA000463;73008494;Besloten Vennootschap;Sportlaan 25;;;;Arnhem;6816VE;;NL;Sportlaan 25;;;;Arnhem;6816VE;;NL;NL;;FULLY_CORROBORATED;RA000463;73008494;724500A93Z8V1MJK5349
724500OJT2K0GFMBUQ58;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Vereniging Vakopleiding Bouwberoepen Almelo en omstreken;ACTIVE;RA000463;40075332;Vereniging;Veldkampsweg 24;;;;Almelo;7605AR;;NL;Veldkampsweg 24;;;;Almelo;7605AR;;NL;NL;;FULLY_CORROBORATED;RA000463;40075332;724500A93Z8V1MJK5349
7245000JF6RXJNHZSX21;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Plataan Investments B.V.;ACTIVE;RA000463;34288360;Besloten Vennootschap;Jan van Eijckstraat 4 H;;;;Amsterdam;1077LJ;;NL;Jan van Eijckstraat 4 H;;;;Amsterdam;1077LJ;;NL;NL;;FULLY_CORROBORATED;RA000463;34288360;724500A93Z8V1MJK5349
7245009ZUDBQWMQ12H63;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Archy Medical B.V.;ACTIVE;RA000463;56257678;Besloten Vennootschap;Westhove 119;;;;Amstelveen;1187DB;;NL;Westhove 119;;;;Amstelveen;1187DB;;NL;NL;;FULLY_CORROBORATED;RA000463;56257678;724500A93Z8V1MJK5349
724500X8VT7JQCB6Z111;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Stichting tot steun en advies aan het Veenlandencollege;ACTIVE;RA000463;40476602;Stichting;Diamant 9;;;;Mijdrecht;3641XR;;NL;Diamant 9;;;;Mijdrecht;3641XR;;NL;NL;;FULLY_CORROBORATED;RA000463;40476602;724500A93Z8V1MJK5349
724500RQ9TS4JUGW5K68;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;706 Online B.V.;ACTIVE;RA000463;72241799;Besloten Vennootschap;Thomas Malthusweg 2;;;;Zwaag;1689ZP;;NL;Thomas Malthusweg 2;;;;Zwaag;1689ZP;;NL;NL;;FULLY_CORROBORATED;RA000463;72241799;724500A93Z8V1MJK5349
724500JA5CNC5UPYEU75;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Jojema B.V.;ACTIVE;RA000463;27171171;Besloten Vennootschap;Hanso Idzerdapad 7;;;;'s-Gravenhage;2553TJ;;NL;Hanso Idzerdapad 7;;;;'s-Gravenhage;2553TJ;;NL;NL;;FULLY_CORROBORATED;RA000463;27171171;724500A93Z8V1MJK5349
724500MULFD0W7N9OD17;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Luna Capital Management B.V.;ACTIVE;RA000463;34383780;Besloten Vennootschap;Zomerzorgerlaan 6;;;;Bloemendaal;2061AC;;NL;Zomerzorgerlaan 6;;;;Bloemendaal;2061AC;;NL;NL;;FULLY_CORROBORATED;RA000463;34383780;724500A93Z8V1MJK5349
